filename,person,bicycle,car,motorbike,aeroplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,total
1105.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1108.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1109.jpg,4,0,1,0,0,0,0,0,0,0,0,0,0,5
111.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1110.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1112.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1113.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1114.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1115.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1116.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1118.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1119.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
112.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1120.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
115.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
116.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
117.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
118.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1201.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1205.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1206.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1207.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1209.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
121.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1210.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1211.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1213.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1215.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1216.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1217.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1219.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
122.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1221.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1223.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1225.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1226.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1229.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
123.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1230.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1231.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1232.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1233.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1236.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1237.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1238.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1239.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1240.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1243.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1245.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1246.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1247.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1248.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1249.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
125.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1250.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1251.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1252.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1254.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1256.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1257.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1258.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1259.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
126.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1260.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1263.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1264.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1265.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1266.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1268.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1269.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
127.jpg,2,0,1,0,0,0,0,0,0,0,0,0,0,3
1270.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1271.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1273.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1276.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1278.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1281.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1285.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1286.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1288.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1289.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
129.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1290.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1293.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1294.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1296.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1298.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1299.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
130.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1301.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1302.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1303.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1304.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1305.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
